track_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,playlist_name
Teenage Dream,0.622,0.375,10,-9.069,1,0.0279,0.411,0.0,0.0812,0.221,111.968,pop,Pop Rising
How Could You,0.573,0.17,11,-10.576,1,0.0555,0.834,3.08e-06,0.108,0.28,146.749,pop,Pop Rising
Something in the Orange,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,pop,Pop Rising
October Passed Me By,0.445,0.367,0,-13.086,1,0.0452,0.761,0.075,0.0987,0.202,155.675,pop,Pop Rising
Locksmith,0.566,0.348,1,-10.726,1,0.0458,0.559,7.66e-06,0.113,0.374,98.734,pop,Pop Rising
Anti-Hero,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,pop,Pop Rising
Before You,0.269,0.373,8,-7.113,0,0.0371,0.15,0.0,0.129,0.321,202.899,pop,Pop Rising
Nothing Is Lost (You Give Me Strength),0.52,0.693,5,-7.704,1,0.0331,0.0002,2.2e-05,0.122,0.12,126.985,pop,Pop Rising
Homesick,0.503,0.643,6,-6.494,1,0.0407,0.0261,2.27e-05,0.314,0.43,169.955,pop,Pop Rising
"Wish on an Eyelash, Pt. 2",0.496,0.408,11,-10.35,0,0.0532,0.548,0.000577,0.313,0.33,102.073,pop,Pop Rising
rumble,0.81,0.836,1,-7.721,0,0.0645,0.0515,0.229,0.0598,0.0585,139.979,pop,Pop Rising
VIBE (feat. Jimin of BTS),0.78,0.683,0,-5.319,1,0.0575,0.0801,0.0,0.22,0.608,100.049,pop,Pop Rising
Die For You,0.472,0.518,8,-7.379,1,0.051,0.383,0.127,0.289,0.154,147.805,pop,Pop Rising
Here With Me,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,pop,Pop Rising
Tripping Over Air,0.622,0.799,11,-4.811,1,0.0342,0.00185,1.08e-06,0.269,0.6,116.985,pop,Pop Rising
Eyes On You,0.729,0.786,10,-4.357,1,0.0389,0.117,0.0,0.265,0.729,131.906,pop,Pop Rising
Fall In Love Alone,0.676,0.625,7,-5.455,0,0.0711,0.316,0.000119,0.127,0.522,171.883,pop,Pop Rising
Shut Up,0.378,0.614,1,-3.809,0,0.0761,0.13,0.0,0.309,0.451,175.937,pop,Pop Rising
Satellite,0.741,0.73,7,-7.07,1,0.0349,0.0279,0.000264,0.0851,0.725,124.001,pop,Pop Rising
STAR WALKIN' (League of Legends Worlds Anthem),0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,pop,Pop Rising
Sick of U (with Oliver Tree),0.676,0.814,0,-3.213,1,0.0585,0.277,0.0,0.0953,0.601,92.554,pop,Pop Rising
Oh Caroline,0.646,0.85,2,-5.466,1,0.0428,0.363,4.01e-05,0.0994,0.819,96.538,pop,Pop Rising
Loser,0.698,0.623,8,-7.845,0,0.037,0.623,0.0856,0.179,0.625,102.002,pop,Pop Rising
AVA,0.578,0.471,3,-6.379,0,0.0417,0.155,0.0,0.0779,0.233,86.982,pop,Pop Rising
Like A Saviour,0.696,0.679,3,-3.899,0,0.0303,0.0232,0.0,0.147,0.58,123.017,pop,New Pop Picks
Ice Cream Man.,0.548,0.295,6,-10.276,1,0.245,0.693,0.000278,0.247,0.123,152.593,pop,New Pop Picks
Do U Really? (with Ruth B.),0.639,0.569,10,-6.898,1,0.0584,0.31,1.66e-05,0.105,0.565,87.025,pop,New Pop Picks
SAD B!TCH,0.544,0.692,0,-3.207,0,0.155,0.296,0.0,0.131,0.618,193.954,pop,New Pop Picks
TRUSTFALL,0.636,0.888,8,-3.889,1,0.0945,0.00162,0.000216,0.147,0.25,122.032,pop,New Pop Picks
Boy's a liar Pt. 2,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,pop,New Pop Picks
I'm Not Here To Make Friends,0.698,0.895,0,-4.439,1,0.0628,0.172,1.45e-05,0.409,0.838,114.914,pop,New Pop Picks
Sad in Hawaii,0.536,0.819,2,-4.624,1,0.158,0.0135,0.0,0.119,0.563,156.942,pop,New Pop Picks
Gatekeeper,0.541,0.461,2,-6.797,1,0.0317,0.0368,0.0,0.329,0.435,143.918,pop,New Pop Picks
Too Late (with AJR),0.729,0.622,6,-6.931,0,0.087,0.0216,0.0,0.294,0.588,88.966,pop,New Pop Picks
"Hold On (From ""Dear Edward"")",0.446,0.279,1,-10.719,1,0.0326,0.855,0.000158,0.0674,0.319,86.252,pop,New Pop Picks
Almost Loved You,0.523,0.116,5,-10.245,1,0.0411,0.908,0.0,0.0788,0.327,76.664,pop,New Pop Picks
MUST BE NICE,0.539,0.338,2,-8.693,1,0.0299,0.911,0.0,0.106,0.247,99.786,pop,New Pop Picks
Moderación (Con Camilo),0.453,0.45,4,-9.055,1,0.237,0.741,2.42e-05,0.106,0.609,74.709,pop,New Pop Picks
I Made It,0.557,0.444,1,-8.115,1,0.0653,0.548,0.0,0.0789,0.0399,129.917,pop,New Pop Picks
Love Again,0.662,0.398,11,-6.691,0,0.0275,0.716,0.0,0.111,0.468,107.001,pop,New Pop Picks
deadly ever after,0.607,0.641,6,-4.907,1,0.0501,0.0459,6.55e-05,0.168,0.581,152.023,pop,New Pop Picks
That's What I Get,0.814,0.722,1,-5.487,1,0.0454,0.33,0.0,0.0713,0.47,142.959,pop,New Pop Picks
MISS ME,0.739,0.694,0,-5.217,0,0.0406,0.15,4.38e-05,0.125,0.446,94.99,pop,New Pop Picks
You Don't Call Me Anymore,0.334,0.4,1,-8.359,1,0.0421,0.624,0.0,0.0894,0.289,84.206,pop,New Pop Picks
Ghost,0.715,0.931,11,-3.548,0,0.0426,0.00573,0.00185,0.0549,0.615,119.971,pop,New Pop Picks
Scatterbrain,0.942,0.365,10,-12.766,0,0.47,0.151,0.0,0.108,0.622,120.016,pop,New Pop Picks
A Lover Like Me,0.59,0.86,2,-4.725,1,0.0528,0.0454,0.0,0.314,0.799,79.976,pop,New Pop Picks
Made You Look (feat. Kim Petras),0.809,0.531,10,-2.956,1,0.0735,0.298,0.0,0.0748,0.817,145.024,pop,New Pop Picks
Startover,0.729,0.673,7,-6.457,1,0.0415,0.402,0.0,0.168,0.386,110.002,pop,New Pop Picks
FALLING 4 SOMEBODY,0.789,0.622,2,-5.423,0,0.0513,0.0832,0.0,0.1,0.352,138.811,pop,New Pop Picks
You Only Love Me,0.67,0.727,7,-5.477,1,0.0689,0.277,0.0,0.52,0.412,110.151,pop,New Pop Picks
Perfect For You,0.483,0.685,2,-5.226,1,0.0312,0.00451,0.0,0.291,0.208,122.945,pop,New Pop Picks
Can't Tame Her,0.584,0.915,6,-3.199,0,0.11,0.00686,0.000155,0.098,0.57,181.882,pop,New Pop Picks
RIP,0.716,0.603,11,-4.607,1,0.0333,0.376,1.88e-05,0.133,0.567,102.944,pop,New Pop Picks
FYP,0.515,0.695,9,-7.492,0,0.0564,0.000576,0.000181,0.115,0.306,160.024,pop,New Pop Picks
drunk text,0.382,0.401,0,-8.955,1,0.0851,0.286,0.0,0.0851,0.145,185.636,pop,New Pop Picks
Happy for Me,0.665,0.569,7,-5.469,1,0.0453,0.328,0.0,0.115,0.411,131.974,pop,New Pop Picks
Over & Done,0.803,0.579,1,-5.524,0,0.246,0.0638,0.0,0.39,0.595,141.969,pop,New Pop Picks
Evangeline,0.469,0.568,3,-7.084,1,0.0305,0.0817,0.0,0.146,0.193,109.172,pop,New Pop Picks
Red Flags,0.841,0.65,8,-5.627,1,0.131,0.021,4.15e-06,0.0694,0.748,129.979,pop,New Pop Picks
How The Story Ends,0.516,0.257,3,-11.534,1,0.0303,0.952,2e-06,0.138,0.293,95.968,pop,New Pop Picks
ur a bitch,0.844,0.729,11,-7.242,1,0.0541,0.256,1.72e-05,0.105,0.675,131.061,pop,New Pop Picks
Flowers,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,pop,New Pop Picks
Oh My God,0.852,0.545,2,-8.261,1,0.0464,0.284,0.0877,0.102,0.339,98.015,pop,New Pop Picks
Butterflies (feat. AURORA),0.326,0.157,4,-16.287,0,0.0415,0.971,0.138,0.191,0.3,178.711,pop,New Pop Picks
"people grow apart, people let me down",0.479,0.581,10,-8.104,1,0.0542,0.0359,0.0,0.316,0.383,144.094,pop,New Pop Picks
3 Months,0.741,0.319,6,-7.555,1,0.0296,0.862,0.0,0.222,0.502,109.999,pop,New Pop Picks
F64,0.751,0.618,6,-6.643,0,0.324,0.596,0.0,0.129,0.707,93.728,pop,New Pop Picks
1st,0.572,0.368,2,-7.498,0,0.0306,0.827,0.0,0.285,0.285,99.767,pop,New Pop Picks
latenight,0.671,0.644,2,-6.517,1,0.0602,0.389,1.08e-06,0.0966,0.231,139.9,pop,New Pop Picks
Confident,0.519,0.811,2,-4.443,1,0.0523,0.118,0.0,0.15,0.658,155.892,pop,New Pop Picks
COOL GIRL,0.777,0.446,0,-6.406,1,0.0298,0.303,0.0,0.0992,0.676,130.051,pop,New Pop Picks
LLYLM,0.555,0.634,6,-5.522,0,0.273,0.129,2.32e-06,0.188,0.555,170.228,pop,New Pop Picks
"Adam, Check Please",0.659,0.554,9,-7.01,1,0.0456,0.253,0.0,0.0672,0.613,127.981,pop,New Pop Picks
life after life,0.649,0.624,8,-7.428,1,0.108,0.189,0.0,0.111,0.163,147.899,pop,New Pop Picks
Old Movies,0.635,0.386,4,-9.666,1,0.0791,0.703,0.0,0.394,0.528,118.037,pop,New Pop Picks
BABY SAID,0.622,0.715,6,-4.04,0,0.0323,0.000982,0.0,0.0796,0.607,131.012,pop,New Pop Picks
Lunar Love,0.708,0.378,7,-9.162,0,0.065,0.41,7.07e-05,0.0736,0.334,159.896,pop,New Pop Picks
Luv Me A Little,0.478,0.769,5,-5.092,1,0.0448,0.168,0.0,0.156,0.157,155.998,pop,New Pop Picks
AS IT SEEMS,0.484,0.469,0,-9.731,1,0.0522,0.159,0.0,0.119,0.219,147.71,pop,New Pop Picks
Voices (feat. Oliver Tree),0.729,0.549,2,-5.332,0,0.0292,0.0865,0.0,0.0951,0.624,95.012,pop,New Pop Picks
Body Better,0.653,0.781,2,-4.092,1,0.1,0.345,5.38e-06,0.365,0.864,118.017,pop,New Pop Picks
Here,0.522,0.681,1,-5.073,1,0.0462,0.0791,0.0,0.194,0.343,120.469,pop,New Pop Picks
Something’s Coming,0.514,0.825,0,-4.452,1,0.0748,0.111,0.0,0.333,0.411,119.985,pop,New Pop Picks
How To Drive,0.465,0.232,7,-14.004,1,0.0682,0.884,0.0,0.137,0.253,77.313,pop,New Pop Picks
MONEY ON THE DASH,0.84,0.667,8,-7.126,1,0.0843,0.0439,1.34e-05,0.179,0.292,120.044,pop,New Pop Picks
A Letter To Everyone Who's Hurt Me,0.562,0.339,2,-12.66,1,0.0514,0.737,0.0,0.186,0.191,119.985,pop,New Pop Picks
I Can Love Anyone (As Long As It's You),0.472,0.28,9,-9.061,1,0.0865,0.79,0.0,0.14,0.226,69.953,pop,New Pop Picks
brrr,0.569,0.808,3,-5.203,0,0.171,0.091,0.0,0.173,0.449,146.902,pop,New Pop Picks
Sugar Rush Ride,0.712,0.893,10,-3.995,0,0.0851,0.00788,0.0,0.169,0.828,125.022,pop,New Pop Picks
SHOOTING STAR,0.625,0.712,2,-5.996,1,0.0539,0.0229,0.0,0.252,0.398,163.015,pop,New Pop Picks
Never Change,0.42,0.311,6,-6.453,1,0.0424,0.794,0.0,0.0785,0.193,159.994,pop,New Pop Picks
If I Ever,0.754,0.679,9,-5.594,0,0.0341,0.0839,0.0,0.0948,0.666,109.958,pop,New Pop Picks
Spam Calls,0.621,0.219,1,-14.751,1,0.0405,0.964,0.0118,0.115,0.288,118.969,pop,New Pop Picks
nervous,0.92,0.496,7,-7.93,1,0.0819,0.128,0.0,0.25,0.734,109.979,pop,New Pop Picks
How Dare You,0.362,0.406,7,-8.297,1,0.0449,0.418,0.0,0.0833,0.197,195.065,pop,New Pop Picks
Play Dumb,0.442,0.287,0,-8.224,1,0.0353,0.767,0.0,0.109,0.324,89.36,pop,New Pop Picks
In a Few Months,0.703,0.753,2,-6.32,1,0.125,0.0981,0.0,0.205,0.647,133.857,pop,New Pop Picks
happier,0.37,0.572,1,-6.009,1,0.0557,0.0149,0.0,0.0306,0.409,89.894,pop,New Pop Picks
My Stupid Heart,0.745,0.681,7,-7.91,1,0.0361,0.0696,0.0,0.164,0.613,115.0,pop,New Pop Picks
Read Your Mind,0.596,0.455,2,-7.4,1,0.0273,0.0319,0.0,0.153,0.149,86.869,pop,New Pop Picks
TREBUCHET,0.514,0.654,6,-6.031,1,0.0479,0.167,0.0,0.0838,0.519,83.147,pop,New Pop Picks
Getting Older,0.51,0.72,10,-4.389,1,0.0509,0.0707,0.0,0.222,0.48,85.557,pop,New Pop Picks
Story of a Boy,0.548,0.851,7,-4.497,1,0.144,0.0228,0.0,0.484,0.678,97.052,pop,New Pop Picks
Make A Scene,0.536,0.486,9,-7.228,1,0.0556,0.244,0.0043,0.466,0.484,172.051,pop,New Pop Picks
Caffeine,0.721,0.557,2,-10.756,1,0.353,0.538,0.0,0.108,0.469,89.984,pop,New Pop Picks
Better,0.723,0.802,8,-8.277,0,0.0271,0.172,0.0158,0.119,0.962,135.022,pop,New Pop Picks
Blue,0.817,0.508,0,-7.207,0,0.0873,0.235,2.14e-06,0.127,0.589,88.019,pop,New Pop Picks
Losses,0.642,0.87,1,-8.937,0,0.0703,0.232,1.27e-05,0.233,0.526,181.978,pop,New Pop Picks
My Favorite Song,0.764,0.411,11,-7.082,1,0.0376,0.0701,0.000451,0.329,0.552,125.017,pop,New Pop Picks
Deadline,0.649,0.363,2,-10.019,1,0.0693,0.897,1.02e-06,0.106,0.512,171.945,pop,New Pop Picks
overflow,0.319,0.68,10,-6.002,1,0.116,0.629,9.48e-05,0.11,0.0999,75.78,pop,New Pop Picks
Everyone And No One,0.314,0.507,1,-6.762,1,0.0563,0.478,0.0,0.0869,0.236,61.975,pop,New Pop Picks
Elephant In The Room,0.494,0.299,1,-12.741,1,0.0296,0.852,3.96e-06,0.176,0.48,76.642,pop,New Pop Picks
Not My Problem,0.657,0.696,11,-4.403,0,0.0757,0.0569,0.0,0.356,0.51,75.044,pop,New Pop Picks
Don't Go Wasting Time,0.585,0.579,4,-4.847,1,0.0279,0.236,0.0,0.0914,0.127,130.027,pop,New Pop Picks
ALERGICA,0.607,0.87,6,-4.289,0,0.0471,0.115,0.0056,0.173,0.764,167.001,pop,New Pop Picks
LUV AGAIN,0.595,0.208,5,-11.957,1,0.0371,0.851,0.0,0.0943,0.484,117.253,pop,New Pop Picks
Recovering People Pleaser,0.519,0.708,5,-3.197,1,0.057,0.399,0.0,0.125,0.293,160.027,pop,New Pop Picks
sad on the weekend,0.668,0.35,3,-9.158,1,0.0389,0.588,0.0,0.125,0.333,146.017,pop,New Pop Picks
Replace You,0.853,0.676,4,-4.398,0,0.0616,0.0923,1.15e-05,0.0904,0.631,122.975,pop,New Pop Picks
Ok,0.621,0.664,8,-5.241,1,0.143,0.0278,0.0,0.367,0.541,75.019,pop,New Pop Picks
Broke Boy,0.817,0.948,4,-3.615,1,0.15,0.0454,0.0025,0.34,0.882,99.987,pop,New Pop Picks
Chill the fck out,0.855,0.587,8,-6.019,1,0.0668,0.00615,0.00213,0.0839,0.84,124.007,pop,New Pop Picks
This Is,0.483,0.492,0,-6.734,0,0.157,0.221,0.0,0.0907,0.328,168.79,rnb,Are & Be
Pray It Away,0.611,0.626,7,-5.087,1,0.0778,0.337,0.0,0.115,0.48,100.129,rnb,Are & Be
Snooze,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,rnb,Are & Be
Where I Go (feat. H.E.R.),0.62,0.396,1,-15.498,0,0.206,0.735,0.000985,0.0976,0.774,87.865,rnb,Are & Be
Nothing Even Matters,0.545,0.768,4,-5.249,0,0.269,0.46,0.0,0.118,0.557,115.052,rnb,Are & Be
Tell Me It's Over (feat. Summer Walker & 6LACK),0.702,0.472,5,-7.282,1,0.0967,0.389,0.0,0.112,0.39,122.083,rnb,Are & Be
ICU,0.584,0.453,8,-6.682,1,0.0661,0.753,0.0,0.111,0.328,124.913,rnb,Are & Be
Breaking Point,0.507,0.538,1,-7.454,1,0.0643,0.4,1.9e-05,0.161,0.239,111.458,rnb,Are & Be
Queen Space (with Summer Walker),0.8,0.614,7,-6.255,0,0.0668,0.174,0.000176,0.0849,0.548,135.018,rnb,Are & Be
I Wish you Roses,0.467,0.624,10,-8.511,0,0.0508,0.143,0.000899,0.145,0.31,141.889,rnb,Are & Be
Do You Like Me?,0.714,0.407,11,-6.806,1,0.0422,0.522,0.00618,0.128,0.358,76.978,rnb,Are & Be
Love Language,0.707,0.261,9,-10.139,0,0.0784,0.853,0.0,0.127,0.545,65.038,rnb,Are & Be
Sure Thing,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,rnb,Are & Be
Say You Want Me,0.884,0.658,0,-5.94,1,0.134,0.19,0.00164,0.103,0.502,112.978,rnb,Are & Be
CUFF IT,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,rnb,Are & Be
2 Sugar (feat. Ayra Starr),0.914,0.643,6,-3.862,0,0.134,0.0498,0.0,0.0618,0.764,105.033,rnb,Are & Be
Apply Pressure,0.658,0.644,0,-9.268,0,0.398,0.455,9.71e-06,0.0955,0.37,89.779,rnb,Are & Be
Feature Me,0.731,0.493,6,-4.96,0,0.0581,0.116,8.32e-06,0.0619,0.852,127.03,rnb,Are & Be
ALL MINE,0.617,0.378,9,-8.54,1,0.0315,0.428,9.16e-05,0.11,0.22,141.967,rnb,Are & Be
Shirt,0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.572,120.009,rnb,Are & Be
I'm Baby (ft. Jvck James),0.521,0.565,11,-9.596,0,0.0681,0.136,1.65e-06,0.134,0.261,114.562,rnb,Are & Be
Changes,0.745,0.622,7,-6.892,0,0.128,0.0992,0.0,0.0832,0.557,140.082,rnb,Are & Be
PLASTIC OFF THE SOFA,0.618,0.712,1,-8.246,1,0.114,0.14,4.53e-06,0.575,0.305,97.057,rnb,Are & Be
Fight for Love,0.836,0.411,6,-9.084,0,0.0325,0.42,0.382,0.0913,0.845,90.876,rnb,Are & Be
Like Her Too,0.557,0.455,10,-6.469,0,0.0444,0.594,0.0,0.122,0.584,123.842,rnb,Are & Be
FOREVER,0.766,0.518,8,-6.527,1,0.0835,0.744,2.23e-05,0.109,0.494,119.906,rnb,Are & Be
FOREVER (with 6LACK),0.815,0.606,2,-4.496,0,0.0586,0.543,2.03e-05,0.114,0.484,114.009,rnb,Are & Be
Die For You,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,rnb,Are & Be
Let's Talk About It,0.506,0.531,1,-6.927,1,0.0855,0.53,0.0,0.108,0.707,136.961,rnb,Are & Be
For the Night,0.462,0.821,5,-3.678,0,0.243,0.216,0.0,0.137,0.487,79.131,rnb,Are & Be
Waste My Time,0.65,0.662,5,-7.555,0,0.0618,0.0287,0.0,0.34,0.628,77.011,rnb,Are & Be
Obsession (feat. Muni Long) - Remix,0.667,0.55,7,-8.533,0,0.0702,0.497,0.0,0.111,0.49,107.005,rnb,Are & Be
Spread Thin,0.621,0.411,6,-8.261,0,0.0333,0.0553,0.0,0.0816,0.357,110.113,rnb,Are & Be
Blind,0.461,0.279,9,-11.776,0,0.0373,0.911,0.0,0.205,0.599,114.225,rnb,Are & Be
Make Me Stay,0.739,0.371,4,-8.152,0,0.0511,0.358,4.27e-05,0.139,0.207,122.033,rnb,Are & Be
DAYDREAM,0.723,0.461,4,-9.747,0,0.0776,0.623,4.89e-06,0.237,0.183,117.983,rnb,Are & Be
Gotta Move On (feat. Bryson Tiller),0.699,0.679,9,-4.528,1,0.0556,0.55,0.0,0.0816,0.56,102.919,rnb,Are & Be
Call Me Every Day (feat. Wizkid),0.73,0.634,4,-7.194,0,0.184,0.111,9.63e-06,0.0986,0.777,171.824,rnb,Are & Be
Liquor (with Ari Lennox),0.542,0.664,1,-4.849,0,0.082,0.0826,0.0,0.131,0.57,63.112,rnb,Are & Be
The Words,0.769,0.446,6,-6.572,1,0.0717,0.138,0.0,0.104,0.62,89.975,rnb,Are & Be
So Be It,0.733,0.625,6,-5.319,1,0.176,0.166,0.0,0.118,0.255,132.248,rnb,Are & Be
DO 4 LOVE,0.367,0.142,6,-12.717,0,0.0319,0.913,0.00367,0.107,0.1,69.827,rnb,Are & Be
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,0.247,0.299,9,-6.083,1,0.0315,0.899,0.0,0.131,0.172,177.115,rnb,Are & Be
Getting Late,0.538,0.659,3,-8.122,0,0.234,0.756,0.00044,0.109,0.542,88.791,rnb,Are & Be
Guess,0.384,0.632,7,-6.736,0,0.403,0.447,0.00047,0.094,0.373,80.046,rnb,Are & Be
JACKIE BROWN,0.726,0.353,10,-10.273,1,0.105,0.65,0.002,0.224,0.503,137.66,rnb,Are & Be
Make You Mine,0.551,0.37,5,-10.194,0,0.0551,0.87,0.0,0.122,0.241,137.265,rnb,Are & Be
Life Is Good (feat. Scribz Riley),0.659,0.675,1,-6.005,0,0.19,0.198,0.00129,0.108,0.19,146.049,rnb,Are & Be
Unloyal (with Ari Lennox),0.805,0.51,4,-6.179,0,0.0569,0.0357,0.000469,0.108,0.36,127.983,rnb,Are & Be
Such A Thing,0.565,0.464,0,-7.604,1,0.0581,0.777,0.0227,0.124,0.337,145.775,rnb,Are & Be
Kill Bill,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,rnb,All the Feels
Feel No Ways,0.582,0.677,7,-7.081,1,0.172,0.0312,6.6e-06,0.122,0.205,193.818,rnb,All the Feels
Stuck On You,0.599,0.45,7,-7.431,1,0.0519,0.166,3.29e-05,0.112,0.144,157.969,rnb,All the Feels
Please Do Not Lean (feat. BADBADNOTGOOD),0.67,0.41,1,-13.444,1,0.0381,0.241,8.55e-06,0.167,0.46,127.972,rnb,All the Feels
Sure Thing,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,rnb,All the Feels
Die For You,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,rnb,All the Feels
Spread Thin,0.621,0.411,6,-8.261,0,0.0333,0.0553,0.0,0.0816,0.357,110.113,rnb,All the Feels
Tell Me It's Over (feat. Summer Walker & 6LACK),0.497,0.477,2,-7.285,0,0.116,0.373,0.0,0.114,0.389,121.524,rnb,All the Feels
Make Me Stay,0.739,0.371,4,-8.152,0,0.0511,0.358,4.27e-05,0.139,0.207,122.033,rnb,All the Feels
Pray It Away,0.611,0.626,7,-5.087,1,0.0778,0.337,0.0,0.115,0.48,100.129,rnb,All the Feels
Jungle,0.697,0.235,7,-8.651,1,0.0534,0.62,0.000144,0.107,0.378,99.947,rnb,All the Feels
From Time,0.739,0.491,1,-9.726,0,0.413,0.626,0.0,0.126,0.448,94.391,rnb,All the Feels
Poison,0.689,0.394,2,-10.102,0,0.065,0.711,0.000905,0.0859,0.382,117.489,rnb,All the Feels
LOVE. FEAT. ZACARI.,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058,rnb,All the Feels
"Yo Love - From ""Queen & Slim: The Soundtrack""",0.703,0.573,0,-9.032,1,0.0724,0.565,3.13e-06,0.0987,0.491,147.038,rnb,All the Feels
Over,0.677,0.541,6,-6.057,0,0.0571,0.48,0.0,0.125,0.379,103.369,rnb,All the Feels
Novacane,0.762,0.508,3,-9.112,1,0.0919,0.0584,0.00126,0.16,0.37,93.51,rnb,All the Feels
I Hate U,0.535,0.388,7,-9.805,0,0.155,0.507,0.0,0.11,0.412,106.703,rnb,All the Feels
PERSIAN RUGS,0.768,0.428,1,-8.156,0,0.0459,0.0489,0.000491,0.105,0.147,110.478,rnb,All the Feels
Teenage Fever,0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,rnb,All the Feels
Nobody But You,0.637,0.299,7,-11.314,1,0.0366,0.742,0.0,0.359,0.364,83.872,rnb,All the Feels
Want U Around (feat. Ruel),0.571,0.443,0,-6.76,1,0.0451,0.3,6.95e-06,0.101,0.621,143.923,rnb,All the Feels
Lie Again,0.576,0.36,7,-9.321,1,0.0352,0.406,0.000103,0.161,0.166,126.836,rnb,All the Feels
Inhale,0.498,0.705,9,-8.088,0,0.392,0.321,0.000441,0.414,0.571,156.519,rnb,All the Feels
Get You (feat. Kali Uchis),0.659,0.295,11,-8.528,0,0.0322,0.426,6.95e-05,0.0795,0.36,74.037,rnb,All the Feels
Sober,0.701,0.591,0,-6.646,1,0.0301,0.0979,2.53e-05,0.551,0.423,98.056,rnb,All the Feels
Coming Down (with Ari Lennox),0.813,0.6,9,-6.769,0,0.0602,0.115,1.34e-05,0.159,0.622,125.981,rnb,All the Feels
Smoking on my Ex Pack,0.466,0.676,8,-8.097,1,0.38,0.241,0.00318,0.224,0.333,81.227,rnb,All the Feels
Could've Been (feat. Bryson Tiller),0.45,0.352,1,-11.733,0,0.267,0.649,3.8e-06,0.249,0.408,102.679,rnb,All the Feels
The Falls,0.571,0.638,4,-6.207,0,0.0656,0.218,0.0,0.113,0.481,65.916,rnb,All the Feels
more than i should (feat. jessie reyez),0.591,0.597,0,-6.769,0,0.141,0.186,0.0,0.1,0.552,143.948,rnb,All the Feels
Pretty Little Fears (feat. J. Cole),0.61,0.458,9,-11.336,1,0.36,0.696,0.000103,0.0852,0.246,192.099,rnb,All the Feels
Favorite Mistake,0.651,0.412,10,-9.517,1,0.0552,0.754,0.0,0.129,0.136,84.975,rnb,All the Feels
Right My Wrongs,0.543,0.449,1,-8.065,1,0.0463,0.345,0.0,0.157,0.29,132.609,rnb,All the Feels
Talk 2 Me,0.464,0.126,11,-16.383,1,0.0647,0.816,3.67e-06,0.559,0.181,103.176,rnb,All the Feels
Immature,0.346,0.571,10,-5.724,0,0.0762,0.00718,0.0,0.135,0.463,82.67,rnb,All the Feels
Can I,0.574,0.791,1,-3.752,1,0.11,0.419,0.0,0.0982,0.612,119.537,rnb,All the Feels
How Would You Feel,0.64,0.592,11,-5.221,0,0.219,0.368,3.88e-06,0.127,0.52,106.812,rnb,All the Feels
Don't,0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,rnb,All the Feels
You Can't Save Me,0.622,0.584,0,-7.891,1,0.122,0.0628,0.000152,0.119,0.545,158.276,rnb,All the Feels
While We're Young,0.649,0.791,2,-6.013,1,0.193,0.104,1.97e-06,0.108,0.811,128.023,rnb,All the Feels
4th Baby Mama,0.874,0.348,9,-9.643,1,0.0767,0.339,8.6e-06,0.116,0.151,111.98,rnb,All the Feels
Thinkin Bout You,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,rnb,All the Feels
Around Me,0.595,0.18,1,-12.516,1,0.0659,0.576,4.56e-05,0.097,0.119,75.067,rnb,All the Feels
True Colors,0.624,0.424,1,-8.237,1,0.24,0.286,0.0,0.173,0.584,76.671,rnb,All the Feels
Love Me,0.569,0.325,7,-9.66,0,0.0376,0.67,0.0,0.141,0.274,122.051,rnb,All the Feels
Don't Say,0.772,0.39,7,-8.862,0,0.0586,0.614,0.00181,0.121,0.609,72.993,rnb,All the Feels
oui,0.418,0.724,5,-3.724,1,0.0964,0.213,0.0,0.112,0.604,78.521,rnb,All the Feels
Streets,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,rnb,All the Feels
